"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 13 15:39:13 GMT 2022","Sun Mar 13 15:39:17 GMT 2022","3453","webkit","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 15:38:34 GMT 2022","Sun Mar 13 15:38:36 GMT 2022","2350","firefox","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 15:38:43 GMT 2022","Sun Mar 13 15:38:46 GMT 2022","2634","firefox","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 15:38:36 GMT 2022","Sun Mar 13 15:38:40 GMT 2022","3550","firefox","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 15:38:26 GMT 2022","Sun Mar 13 15:38:28 GMT 2022","1706","chromium","multiple_items_checkout.spec.js","Checkout","","","Multiple items checkout",""
"passed","Sun Mar 13 15:38:47 GMT 2022","Sun Mar 13 15:38:52 GMT 2022","5236","webkit","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Sun Mar 13 15:39:02 GMT 2022","Sun Mar 13 15:39:13 GMT 2022","11685","webkit","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 15:38:57 GMT 2022","Sun Mar 13 15:39:02 GMT 2022","4252","webkit","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 15:38:22 GMT 2022","Sun Mar 13 15:38:26 GMT 2022","4034","chromium","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 15:38:15 GMT 2022","Sun Mar 13 15:38:16 GMT 2022","1118","chromium","authentication.spec.js","Authentication","","","Invalid authentication",""
"passed","Sun Mar 13 15:38:20 GMT 2022","Sun Mar 13 15:38:22 GMT 2022","2323","chromium","editing_items_checkout.spec.js","Checkout","","","Editing items in the cart before checkout",""
"passed","Sun Mar 13 15:38:18 GMT 2022","Sun Mar 13 15:38:20 GMT 2022","2077","chromium","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 15:38:40 GMT 2022","Sun Mar 13 15:38:43 GMT 2022","3618","firefox","inventory_sorting.spec.js","Sorting","","","Inventory sorting",""
"passed","Sun Mar 13 15:38:54 GMT 2022","Sun Mar 13 15:38:57 GMT 2022","3552","webkit","checkout_cancellation.spec.js","Checkout","","","Cancellation of the checkout process",""
"passed","Sun Mar 13 15:38:29 GMT 2022","Sun Mar 13 15:38:32 GMT 2022","3533","firefox","authentication.spec.js","Authentication","","","Invalid authentication",""
